history_date,character_isk,corporation_isk,total_isk,isk_velocity,isk_velocity_wo_accessories
2017-01-01,823730200043571.2,194348815879803.16,1018079015923374.4,0.7157200404367592,0.3711946564097401
2017-01-02,822928899018620.6,193937020971834.0,1016865919990454.6,0.8028616730302104,0.4242241808875401
2017-01-03,821047338543957.9,192975986435289.1,1014023324979247.0,0.7561050615924241,0.4121570818313663
2017-01-04,820432329317686.6,192056946175464.62,1012489275493151.2,0.7519950425829216,0.39882780265026474
2017-01-05,820912084404474.1,192490703166430.84,1013402787570905.0,0.7365916639913637,0.3850583047075675
2017-01-06,820825566522318.9,192974493467320.1,1013800059989639.0,0.781250830823475,0.38788891988874374
2017-01-07,822477964357296.4,192818112332578.9,1015296076689875.2,0.8178026050929975,0.4411945933184609
2017-01-08,826501723431270.2,192979604125232.4,1019481327556502.6,0.8364383874334298,0.45956217164536983
2017-01-09,825454826734800.1,193231173817611.28,1018686000552411.4,0.6931050367219389,0.3774032274127569
2017-01-10,823995719186456.4,193063603078562.34,1017059322265018.8,0.6458239084476495,0.34934087799765906
2017-01-11,823792924194616.4,192389489319281.06,1016182413513897.5,0.6593370024746048,0.35868598591324086
2017-01-12,822985744524013.6,192917935225090.2,1015903679749103.8,0.6918060355061767,0.3534478179403723
2017-01-13,821923642604053.5,192521493831001.4,1014445136435054.9,0.7551249384189821,0.38194416616350274
2017-01-14,821680441207119.9,192536158201536.22,1014216599408656.1,0.8597984141536343,0.4417781775001568
2017-01-15,821936653661594.1,192205666559406.47,1014142320221000.6,0.9058373535884517,0.4596196643738768
2017-01-16,820857262734598.9,191524231618177.3,1012381494352776.2,0.7539630196915935,0.40968057214650205
2017-01-17,818047360099450.0,192538050985707.78,1010585411085157.8,0.7302659387713415,0.38425105898334994
2017-01-18,818465988900934.9,193020183999470.97,1011486172900405.9,0.7444120063843521,0.3793769199952992
2017-01-19,817983932688814.0,191115008708067.3,1009098941396881.2,0.7387019201285483,0.3862173795018545
2017-01-20,818161959862286.1,191595659047617.28,1009757618909903.4,0.7291468749213973,0.3935429519577652
2017-01-21,818870492688818.9,191546034271671.16,1010416526960490.0,0.855294000673586,0.45274874712688734
2017-01-22,818875598761836.8,191911083917517.94,1010786682679354.8,0.8569396314114481,0.48701263472832734
2017-01-23,818075698250123.5,191895171937019.53,1009970870187143.0,0.7410451032819523,0.396445769616834
2017-01-24,813157569463206.2,191154456229274.56,1004312025692480.8,0.6857992155895957,0.3852441876578491
2017-01-25,809030838662034.4,190349072316570.0,999379910978604.4,0.6830319248206693,0.3670356993240496
2017-01-26,804819085064473.5,190375729454759.72,995194814519233.2,0.6773182667673437,0.3635353434234212
2017-01-27,803614931802738.2,189094914089608.44,992709845892346.8,0.7346629330395353,0.3913064038243611
2017-01-28,803194558254431.9,189045003045567.9,992239561299999.8,0.895998694225833,0.46668514819880524
2017-01-29,801535304785949.1,188537934113815.56,990073238899764.8,0.8698443840737691,0.4698500451115003
2017-01-30,798808938680001.9,188400608365818.47,987209547045820.4,0.723661920526278,0.40637609910324884
2017-01-31,795419446828577.9,188195069121024.8,983614515949602.8,0.7358158555016588,0.37598802309872476
2017-02-01,794262650332038.4,186948659639950.22,981211309971988.6,0.7169804125480848,0.38358708128235186
2017-02-02,792764038040443.1,187604805228669.84,980368843269113.0,0.7103423479160296,0.3806691431369173
2017-02-03,792499795125517.4,187679869791433.1,980179664916950.5,0.7599433755279948,0.3981068994257788
2017-02-04,793133974956965.4,188339010797770.75,981472985754736.1,0.9088606893651003,0.4851493050326206
2017-02-05,795381675398678.8,189251294780216.56,984632970178895.2,0.8670956965158452,0.46679860557578623
2017-02-06,793571372569209.4,188515596030236.7,982086968599446.0,0.7430974301071441,0.418451177165147
2017-02-07,787628681729613.8,188938130088922.38,976566811818536.1,0.7292669507914038,0.39857426643161165
2017-02-08,786611240522950.2,189517476389063.22,976128716912013.5,0.7644658236684281,0.39421605623054135
2017-02-09,788863747693886.0,189130106460635.56,977993854154521.5,0.7089003722811565,0.3938819810691397
2017-02-10,788179870152311.8,188834693449166.7,977014563601478.5,0.7506419357004469,0.39940319961650095
2017-02-11,789881173417912.2,187274101140697.0,977155274558609.2,0.8671784280874825,0.47560439225970075
2017-02-12,791241694845721.6,187057204189134.94,978298899034856.5,0.9045673690834755,0.50598763951715
2017-02-13,787914437498424.0,186713601544664.12,974628039043088.1,0.7757797078813385,0.4271626609571917
2017-02-14,787318311296202.8,187257163598913.06,974575474895115.8,0.6760493299532628,0.3542689549099407
2017-02-15,787489970448552.0,187539529166524.56,975029499615076.5,0.821246963222657,0.42949248431658793
2017-02-16,788462640797489.9,187054944318450.34,975517585115940.2,0.8267568948724036,0.4270811936217999
2017-02-17,787663042144714.2,187367048182744.22,975030090327458.5,0.8480989523355061,0.44206870710325236
